"Timestamp","Username","Name","Age","  What is your field of study?  ","  How many hours do you study daily?  ","How many study breaks do you take per session?  ","Do you get easily distracted while studying?","  Do you keep your phone close while studying?  ","How long is each break on average? ","What do you do during your breaks? (Check all that apply)","On a scale of 1-10, how productive do you feel after taking breaks? (1 = not productive, 10 = very productive)","Do frequent breaks help you stay focused?  ","Do you follow a structured study method (e.g., Pomodoro technique i.e. break the work into small tasks with break intervals in between)? "
"2025/03/22 3:21:36 pm GMT+5:30","utkarshtyagi0911@gmail.com","Utkarsh Tyagi","18","Engineering","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack","1","No","No"
"2025/03/22 3:22:49 pm GMT+5:30","priyanshduttaroy@gmail.com","Priyansh Dutta Roy ","20","Arts","1-3 hours","2-3","Rarely","Yes, and I use it often","5-10 minutes","Listen to music;Walk/stretch;Eat/snack;Take a nap","6","Sometimes","No"
"2025/03/22 3:26:06 pm GMT+5:30","btech10948.24@bitmesra.ac.in","Anisha ","19","Engineering","1-3 hours","2-3","Sometimes","No, I keep it away","10-20 minutes","Eat/snack","6","Yes","No"
"2025/03/22 3:28:09 pm GMT+5:30","rounak1700@gmail.com","Rounak","19","Engineering","1-3 hours","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Eat/snack;Take a nap","1","No","No"
"2025/03/22 3:28:30 pm GMT+5:30","raj1465rai@gmail.com","Raj","19","Arts","1-3 hours","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch","5","Sometimes","Not Sure"
"2025/03/22 3:28:53 pm GMT+5:30","niharikaaaa1211@gmail.com","Niharika ","20","Arts","5+ hours","More than 5","Sometimes","I put it in another room or turn it off","10-20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap","10","Yes","Yes"
"2025/03/22 3:29:20 pm GMT+5:30","sibampraharaj68@gmail.com","sibam praharaj","19","Engineering","5+ hours","More than 5","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Walk/stretch;Eat/snack;Take a nap","5","No","Not Sure"
"2025/03/22 3:34:15 pm GMT+5:30","johnnysins31121@gmail.com","Johnny sins","27","Others","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap;Other","1","No","No"
"2025/03/22 3:34:52 pm GMT+5:30","aryanbbpsgr@gmail.com","Aryan Singh ","17","Engineering","1-3 hours","More than 5","Sometimes","Yes, but I rarely use it","10-20 minutes","Scroll social media","7","Sometimes","No"
"2025/03/22 3:36:14 pm GMT+5:30","viditjain44gaya@gmail.com","Vidit jain","19","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music","6","No","No"
"2025/03/22 3:36:31 pm GMT+5:30","sethsushant@gmail.com","Sushant","19","Engineering","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media","1","No","No"
"2025/03/22 3:37:34 pm GMT+5:30","vaishali3906@gmail.com","Vaishali ","18","Engineering","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap;Other","5","No","No"
"2025/03/22 3:38:29 pm GMT+5:30","anshverma1902@gmail.com","Ansh verma","19","Engineering","Less than 1 hour","4-5","Yes, very often","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music","3","Sometimes","No"
"2025/03/22 3:41:33 pm GMT+5:30","kancykansal05@gmail.com","Kancy Kansal ","18","Engineering","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music;Eat/snack","4","Sometimes","Not Sure"
"2025/03/22 3:43:34 pm GMT+5:30","shrivastavah640@gmail.com","Harshita Shrivastava ","19","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media","3","Yes","No"
"2025/03/22 3:53:03 pm GMT+5:30","gaurangxgoel@gmail.com","Gaurang Goel ","19","Engineering","Less than 1 hour","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Eat/snack","1","No","No"
"2025/03/22 3:56:38 pm GMT+5:30","aadikeshu2305@gmail.com","Ananya Srivastava ","19","Engineering","1-3 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Walk/stretch;Eat/snack","7","Sometimes","No"
"2025/03/22 3:59:28 pm GMT+5:30","umraovaibhav15@gmail.com","Vaibhav  Umrao ","18 ","Others","1-3 hours","0-1","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Take a nap","1","No","Not Sure"
"2025/03/22 4:01:37 pm GMT+5:30","chinmayjain00010@gmail.com","Chinmaya","18","Engineering","5+ hours","More than 5","Sometimes","Yes, and I use it often","10-20 minutes","Listen to music;Walk/stretch;Eat/snack;Take a nap;Other","9","Yes","No"
"2025/03/22 4:02:31 pm GMT+5:30","phantomgamer9415@gmail.com","Chaghan Srivastav ","19","Business","1-3 hours","0-1","Yes, very often","Yes, but I rarely use it","10-20 minutes","Scroll social media;Walk/stretch;Eat/snack;Take a nap","8","Sometimes","Yes"
"2025/03/22 4:15:46 pm GMT+5:30","viciousstreetx@gmail.com","Vidushee ","19","Engineering","3-5 hours","4-5","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack","5","Sometimes","No"
"2025/03/22 4:26:18 pm GMT+5:30","eshantchoudhary7@gmail.com","Eshant choudhary ","19","Arts","5+ hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch;Take a nap","7","Yes","No"
"2025/03/22 4:29:51 pm GMT+5:30","shreysakhiya11@gmail.com","Shrey ","19","Engineering","1-3 hours","More than 5","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media","4","Sometimes","Not Sure"
"2025/03/22 4:32:56 pm GMT+5:30","divyarajsinh6440@gmail.com","Divyaraj ","19","Science","Less than 1 hour","2-3","Sometimes","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","8","Yes","No"
"2025/03/22 4:36:55 pm GMT+5:30","sudarshana.c1807@gmail.com","Sudarshana Chakraborty ","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, but I rarely use it","10-20 minutes","Scroll social media;Listen to music;Walk/stretch","9","Yes","Yes"
"2025/03/22 4:40:24 pm GMT+5:30","cdtshivam5914@gmail.com","Shivam","19","Arts","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","10-20 minutes","Take a nap","8","Yes","Yes"
"2025/03/22 5:15:46 pm GMT+5:30","awasthiarya800@gmail.com","Arya Awasthi ","20","Arts","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","10-20 minutes","Walk/stretch;Eat/snack;Take a nap","10","Sometimes","No"
"2025/03/22 5:19:43 pm GMT+5:30","guptaayushi9759@gmail.com","Ayushi","22","Engineering","1-3 hours","2-3","Yes, very often","Yes, but I rarely use it","10-20 minutes","Scroll social media;Listen to music","8","Yes","No"
"2025/03/22 5:33:01 pm GMT+5:30","aadarshpandey7250@gmail.com","Aadarsh Pandey","24","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","5-10 minutes","Scroll social media;Other","4","No","Not Sure"
"2025/03/22 5:42:49 pm GMT+5:30","ayush7pd@gmail.com","Ayush","19","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Eat/snack;Take a nap","2","No","No"
"2025/03/22 5:43:29 pm GMT+5:30","khannashrah54@gmail.com","Nashra Khan","20","Arts","Less than 1 hour","2-3","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Eat/snack;Take a nap","1","No","No"
"2025/03/22 6:06:31 pm GMT+5:30","r.p.singh01857@gmail.com","Binarybug","19","Engineering","5+ hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Walk/stretch;Take a nap","9","Yes","No"
"2025/03/22 6:09:59 pm GMT+5:30","ayushsoni.60226@gmail.com","Ayush Soni","20","Engineering","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch;Eat/snack","5","Sometimes","Not Sure"
"2025/03/22 6:40:48 pm GMT+5:30","shivanshpratapsingh46@gmail.com","Shivansh Singh","20","Engineering","Less than 1 hour","0-1","Rarely","No, I keep it away","10-20 minutes","Scroll social media","1","Sometimes","No"
"2025/03/22 6:43:13 pm GMT+5:30","singhaniakhushi810@gmail.com","Khushi Singhania ","18","Business","1-3 hours","2-3","Sometimes","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch;Eat/snack","8","Yes","Not Sure"
"2025/03/22 6:48:27 pm GMT+5:30","ragex777@gmail.com","Anand","19","Engineering","1-3 hours","4-5","Yes, very often","Yes, but I rarely use it","5-10 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Other","7","Sometimes","No"
"2025/03/22 8:20:51 pm GMT+5:30","ana.shukla.28@gmail.com","Ananya Shukla","19","Arts","Less than 1 hour","2-3","Sometimes","Yes, and I use it often","5-10 minutes","Scroll social media;Walk/stretch;Eat/snack","5","Sometimes","Yes"
"2025/03/22 8:57:54 pm GMT+5:30","divyanshisrivastava927@gmail.com","Divyanshi Srivastava ","20","Arts","1-3 hours","0-1","Sometimes","Yes, but I rarely use it","Less than 5 minutes","Listen to music;Walk/stretch","3","Sometimes","Not Sure"
"2025/03/22 9:04:54 pm GMT+5:30","vmayash2006@gmail.com","Mayash","18","Business","5+ hours","0-1","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch","7","Sometimes","No"
"2025/03/22 9:15:27 pm GMT+5:30","btech10760.24@bitmesra.ac.in","Abhishek ","20","Engineering","3-5 hours","4-5","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Eat/snack","8","Sometimes","No"
"2025/03/22 10:58:29 pm GMT+5:30","arpitsingh8004@gmail.com","Arpit Singh ","19","Engineering","Less than 1 hour","0-1","Sometimes","Yes, but I rarely use it","Less than 5 minutes","Scroll social media","4","No","Not Sure"
"2025/03/23 9:18:37 am GMT+5:30","anishkumar97130@gmail.com","Anish Kumar gupta ","19","Engineering","1-3 hours","0-1","Sometimes","Yes, and I use it often","5-10 minutes","Scroll social media","5","Yes","No"
"2025/03/23 2:27:17 pm GMT+5:30","ranjansarkar10000@gmail.com","Kuposhit Nigga","69","Others","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Walk/stretch;Eat/snack;Take a nap;Other","10","Yes","No"
"2025/03/23 2:30:38 pm GMT+5:30","mail2harshraj2004@gmail.com","Harshu","69","Engineering","1-3 hours","2-3","Sometimes","Yes, but I rarely use it","Less than 5 minutes","Scroll social media;Listen to music;Walk/stretch;Take a nap;Other","9","Sometimes","Yes"
"2025/03/23 2:53:52 pm GMT+5:30","anilesh890@gmail.com","Anilesh Saha ","22","Engineering","3-5 hours","More than 5","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media","3","No","No"
"2025/03/23 3:53:39 pm GMT+5:30","vinitvipul25@gmail.com","Vipul","21","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","Less than 5 minutes","Scroll social media","8","Sometimes","No"
"2025/03/23 4:06:03 pm GMT+5:30","suryanshdeep03@gmail.com","Suryansh Deep ","19","Engineering","1-3 hours","2-3","Rarely","Yes, but I rarely use it","5-10 minutes","Scroll social media;Listen to music","7","Sometimes","No"
"2025/03/23 6:14:31 pm GMT+5:30","piyush75jha@gmail.com","Piyush Jha","18","Engineering","3-5 hours","2-3","Yes, very often","Yes, but I rarely use it","5-10 minutes","Scroll social media","5","Yes","Yes"
"2025/03/23 11:22:37 pm GMT+5:30","pandeyshashwat663@gmail.com","Shashwat Pandey ","19","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","Less than 5 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/24 10:41:44 am GMT+5:30","jyotika918273@gmail.com","Jyoti Kumari ","20","Engineering","3-5 hours","0-1","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Eat/snack;Take a nap","9","Yes","Yes"
"2025/03/22 4:12:45 pm GMT+5:30","jai.sharma21@gmail.com","Jai Sharma","21","Engineering","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Scroll social media;Walk/stretch","7","Yes","Yes"
"2025/03/22 4:18:22 pm GMT+5:30","priya.patel19@outlook.com","Priya Patel","19","Science","1-3 hours","4-5","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Eat/snack","6","Yes","Not Sure"
"2025/03/22 4:25:37 pm GMT+5:30","rahul.gupta22@hotmail.com","Rahul Gupta","22","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","9","Yes","Yes"
"2025/03/22 4:31:14 pm GMT+5:30","neha.singh20@gmail.com","Neha Singh","20","Arts","1-3 hours","4-5","Yes, very often","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Take a nap","4","Sometimes","No"
"2025/03/22 4:42:08 pm GMT+5:30","vikram.mehra18@yahoo.com","Vikram Mehra","18","Engineering","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/22 4:53:29 pm GMT+5:30","aditi.verma21@gmail.com","Aditi Verma","21","Science","1-3 hours","0-1","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 5:05:12 pm GMT+5:30","rohan.joshi19@outlook.com","Rohan Joshi","19","Engineering","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music","2","No","No"
"2025/03/22 5:14:45 pm GMT+5:30","divya.sharma20@gmail.com","Divya Sharma","20","Arts","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/22 5:25:33 pm GMT+5:30","amit.kumar18@yahoo.com","Amit Kumar","18","Engineering","5+ hours","4-5","No, I stay focused","No, I keep it away","10-20 minutes","Walk/stretch;Eat/snack;Take a nap","8","Yes","Yes"
"2025/03/22 5:32:19 pm GMT+5:30","deepika.patel22@gmail.com","Deepika Patel","22","Science","3-5 hours","2-3","Sometimes","Yes, but I rarely use it","5-10 minutes","Scroll social media;Walk/stretch","6","Sometimes","Yes"
"2025/03/22 5:43:57 pm GMT+5:30","sameer.shah19@outlook.com","Sameer Shah","19","Engineering","1-3 hours","4-5","Yes, very often","Yes, and I use it often","10-20 minutes","Scroll social media;Listen to music;Eat/snack","5","No","No"
"2025/03/22 5:55:21 pm GMT+5:30","tanvi.mehra20@gmail.com","Tanvi Mehra","20","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Take a nap","3","No","No"
"2025/03/22 6:06:45 pm GMT+5:30","karan.singh21@yahoo.com","Karan Singh","21","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 6:18:33 pm GMT+5:30","pooja.gupta19@gmail.com","Pooja Gupta","19","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Eat/snack","7","Yes","Not Sure"
"2025/03/22 6:27:11 pm GMT+5:30","vivek.sharma20@outlook.com","Vivek Sharma","20","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Walk/stretch","6","Sometimes","No"
"2025/03/22 6:38:24 pm GMT+5:30","ananya.joshi18@gmail.com","Ananya Joshi","18","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/22 6:47:56 pm GMT+5:30","rohit.verma21@yahoo.com","Rohit Verma","21","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/22 6:58:39 pm GMT+5:30","meera.patel19@gmail.com","Meera Patel","19","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Eat/snack","7","Yes","Yes"
"2025/03/22 7:09:17 pm GMT+5:30","aryan.kumar20@outlook.com","Aryan Kumar","20","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/22 7:18:42 pm GMT+5:30","sonam.singh22@gmail.com","Sonam Singh","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/22 7:27:15 pm GMT+5:30","rajiv.sharma19@yahoo.com","Rajiv Sharma","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 7:38:29 pm GMT+5:30","kavita.gupta20@gmail.com","Kavita Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/22 7:49:53 pm GMT+5:30","vikash.joshi18@outlook.com","Vikash Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/22 7:58:21 pm GMT+5:30","ritu.patel21@gmail.com","Ritu Patel","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/22 8:07:46 pm GMT+5:30","arun.verma19@yahoo.com","Arun Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/22 8:16:14 pm GMT+5:30","sneha.singh20@gmail.com","Sneha Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/22 8:27:39 pm GMT+5:30","varun.sharma18@outlook.com","Varun Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/22 8:38:52 pm GMT+5:30","neetu.gupta22@gmail.com","Neetu Gupta","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/22 8:47:19 pm GMT+5:30","rakesh.kumar19@yahoo.com","Rakesh Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 8:56:43 pm GMT+5:30","anjali.patel20@gmail.com","Anjali Patel","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/22 9:07:11 pm GMT+5:30","sanjay.joshi18@outlook.com","Sanjay Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/22 9:18:32 pm GMT+5:30","reena.singh21@gmail.com","Reena Singh","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/22 9:27:58 pm GMT+5:30","vijay.verma19@yahoo.com","Vijay Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/22 9:36:24 pm GMT+5:30","tanya.gupta20@gmail.com","Tanya Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/22 9:45:49 pm GMT+5:30","rahul.sharma18@outlook.com","Rahul Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/22 9:54:17 pm GMT+5:30","priti.patel22@gmail.com","Priti Patel","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/22 10:03:42 pm GMT+5:30","naveen.kumar19@yahoo.com","Naveen Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 10:12:18 pm GMT+5:30","shreya.singh20@gmail.com","Shreya Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/22 10:21:46 pm GMT+5:30","sagar.joshi18@outlook.com","Sagar Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/22 10:30:12 pm GMT+5:30","shweta.gupta21@gmail.com","Shweta Gupta","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/22 10:39:38 pm GMT+5:30","ashish.verma19@yahoo.com","Ashish Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/22 10:48:14 pm GMT+5:30","pooja.singh20@gmail.com","Pooja Singh","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/22 10:57:42 pm GMT+5:30","mohit.sharma18@outlook.com","Mohit Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
"2025/03/22 11:06:18 pm GMT+5:30","divya.patel22@gmail.com","Divya Patel","22","Arts","Less than 1 hour","More than 5","Yes, very often","Yes, and I use it often","More than 20 minutes","Scroll social media;Listen to music;Eat/snack","3","No","No"
"2025/03/22 11:15:46 pm GMT+5:30","suresh.kumar19@yahoo.com","Suresh Kumar","19","Engineering","5+ hours","2-3","No, I stay focused","I put it in another room or turn it off","Less than 5 minutes","Walk/stretch","9","Yes","Yes"
"2025/03/22 11:24:22 pm GMT+5:30","meena.gupta20@gmail.com","Meena Gupta","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","5-10 minutes","Listen to music;Walk/stretch","7","Yes","Not Sure"
"2025/03/22 11:33:46 pm GMT+5:30","pravin.joshi18@outlook.com","Pravin Joshi","18","Engineering","1-3 hours","2-3","Sometimes","Yes, and I use it often","10-20 minutes","Scroll social media;Eat/snack","6","Sometimes","No"
"2025/03/22 11:42:18 pm GMT+5:30","sunita.singh21@gmail.com","Sunita Singh","21","Arts","Less than 1 hour","0-1","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Listen to music","4","No","No"
"2025/03/22 11:51:44 pm GMT+5:30","rajesh.verma19@yahoo.com","Rajesh Verma","19","Engineering","5+ hours","2-3","No, I stay focused","No, I keep it away","Less than 5 minutes","Walk/stretch;Eat/snack","8","Yes","Yes"
"2025/03/23 12:00:12 am GMT+5:30","aarti.patel20@gmail.com","Aarti Patel","20","Science","3-5 hours","4-5","Sometimes","Yes, but I rarely use it","10-20 minutes","Listen to music;Walk/stretch;Take a nap","7","Yes","Yes"
"2025/03/23 12:09:38 am GMT+5:30","avinash.sharma18@outlook.com","Avinash Sharma","18","Engineering","1-3 hours","2-3","Yes, very often","Yes, and I use it often","5-10 minutes","Scroll social media;Take a nap","5","Sometimes","Not Sure"
